movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Star
0042192,All About Eve,1950,Passed,138,63463,Bette Davis
0042192,All About Eve,1950,Passed,138,63463,Anne Baxter
0042192,All About Eve,1950,Passed,138,63463,George Sanders
0993846,The Wolf of Wall Street,2013,R,180,116900694,Leonardo DiCaprio
0993846,The Wolf of Wall Street,2013,R,180,116900694,Jonah Hill
0993846,The Wolf of Wall Street,2013,R,180,116900694,Margot Robbie
6966692,Green Book,2018,PG-13,130,85080171,Viggo Mortensen
6966692,Green Book,2018,PG-13,130,85080171,Mahershala Ali
6966692,Green Book,2018,PG-13,130,85080171,Linda Cardellini
0055031,Judgment at Nuremberg,1961,Approved,179,,Spencer Tracy
0055031,Judgment at Nuremberg,1961,Approved,179,,Burt Lancaster
0055031,Judgment at Nuremberg,1961,Approved,179,,Richard Widmark
6791350,Guardians of the Galaxy Vol. 3,2023,PG-13,150,168401178,Chris Pratt
6791350,Guardians of the Galaxy Vol. 3,2023,PG-13,150,168401178,Chukwudi Iwuji
6791350,Guardians of the Galaxy Vol. 3,2023,PG-13,150,168401178,Bradley Cooper
0089881,Ran,1985,R,162,4135750,Tatsuya Nakadai
0089881,Ran,1985,R,162,4135750,Akira Terao
0089881,Ran,1985,R,162,4135750,Jinpachi Nezu
0112641,Casino,1995,R,178,42512375,Robert De Niro
0112641,Casino,1995,R,178,42512375,Sharon Stone
0112641,Casino,1995,R,178,42512375,Joe Pesci
0120382,The Truman Show,1998,PG,103,125618201,Jim Carrey
0120382,The Truman Show,1998,PG,103,125618201,Ed Harris
0120382,The Truman Show,1998,PG,103,125618201,Laura Linney
0469494,There Will Be Blood,2007,R,158,40222514,Daniel Day-Lewis
0469494,There Will Be Blood,2007,R,158,40222514,Paul Dano
